"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2016","2017","2018","2019","2020"
"01001","Autauga, AL",1652177,1587695,1602077,1540762,1520973
"01003","Baldwin, AL",6266434,6453588,6799715,7134734,6985901
"01005","Barbour, AL",727850,721125,730518,729105,687074
"01007","Bibb, AL",348377,353234,353016,380453,388330
"01009","Blount, AL",865373,920401,967135,932215,881874
"01011","Bullock, AL",222938,225304,235358,247229,250385
"01013","Butler, AL",567733,584855,609244,615641,574717
"01015","Calhoun, AL",3845108,3904458,3959304,4114829,3982561
"01017","Chambers, AL",782283,785046,807107,817533,808162
"01019","Cherokee, AL",510173,508778,540834,527358,475640
"01021","Chilton, AL",858556,880016,918168,980365,957204
"01023","Choctaw, AL",498608,505673,546076,492926,488633
"01025","Clarke, AL",745289,728113,750365,736710,730025
"01027","Clay, AL",344213,368300,444465,419318,407934
"01029","Cleburne, AL",302950,297209,302347,274512,260207
"01031","Coffee, AL",1299125,1301763,1326701,1315749,1249738
"01033","Colbert, AL",2365945,2268306,2363329,2341000,2367932
"01035","Conecuh, AL",563738,538017,488194,466540,435791
"01037","Coosa, AL",177742,169996,178018,176482,180648
"01039","Covington, AL",1126837,1165463,1166050,1100109,1051514
"01041","Crenshaw, AL",390742,419898,448270,428320,374307
"01043","Cullman, AL",2552660,2598508,2601327,2649646,2567437
"01045","Dale, AL",2603565,2591882,2514046,2522516,2427204
"01047","Dallas, AL",1108266,1118491,1122110,1102126,1053089
"01049","DeKalb, AL",1750675,1847471,1921659,1857673,1777822
"01051","Elmore, AL",1742986,1777348,1789092,1809270,1709154
"01053","Escambia, AL",1239022,1238865,1215138,1206764,1153705
"01055","Etowah, AL",2805072,2809493,2841049,2766192,2563314
"01057","Fayette, AL",336911,320476,316814,321519,305877
"01059","Franklin, AL",847580,907706,962638,926671,890896
"01061","Geneva, AL",535355,503896,502402,526336,488863
"01063","Greene, AL",234956,210124,209945,218149,197615
"01065","Hale, AL",292543,271623,246837,241685,241617
"01067","Henry, AL",378552,391731,396376,407934,389768
"01069","Houston, AL",4710544,4867988,4880057,4957322,4788927
"01071","Jackson, AL",1382694,1378489,1437962,1381755,1313862
"01073","Jefferson, AL",39851104,40364992,41028930,41244762,39199550
"01075","Lamar, AL",300536,309283,304861,305015,287202
"01077","Lauderdale, AL",2335953,2374775,2371552,2367072,2298418
"01079","Lawrence, AL",457839,478923,504193,501518,524136
"01081","Lee, AL",5267271,5448360,5389074,5603187,5570011
"01083","Limestone, AL",3297593,3411295,3385841,3572973,3482707
"01085","Lowndes, AL",422130,418011,399841,377807,363769
"01087","Macon, AL",472720,487572,481537,478726,475374
"01089","Madison, AL",21151856,21789269,22720023,23670284,23543852
"01091","Marengo, AL",655314,642708,672252,681595,674690
"01093","Marion, AL",784859,798214,810967,792988,763653
"01095","Marshall, AL",3026434,3164613,3245603,3276199,3200499
"01097","Mobile, AL",18113255,18215505,18455706,18652926,18079418
"01099","Monroe, AL",641767,658871,629022,599556,568233
"01101","Montgomery, AL",12527980,12569243,12524276,12558288,12182340
"01103","Morgan, AL",4973724,5034458,5104998,5135887,5092131
"01105","Perry, AL",201532,199944,196637,192844,183394
"01107","Pickens, AL",424370,433779,427099,429936,404316
"01109","Pike, AL",1291121,1304003,1285265,1286294,1235839
"01111","Randolph, AL",473151,474844,484942,464111,425424
"01113","Russell, AL",1290405,1323460,1315599,1313851,1285414
"01115","St. Clair, AL",1798594,1822443,1872929,1871513,1824570
"01117","Shelby, AL",10110101,10468422,10673132,10814962,10500006
"01119","Sumter, AL",322120,308764,302068,294189,283683
"01121","Talladega, AL",2825416,2867439,2894807,2864298,2756664
"01123","Tallapoosa, AL",1250148,1190058,1213743,1265550,1225259
"01125","Tuscaloosa, AL",9394074,9788372,9884658,10491624,10098832
"01127","Walker, AL",1824222,1875503,1886388,1694530,1577350
"01129","Washington, AL",774846,753456,742567,789922,732077
"01131","Wilcox, AL",390303,392873,416036,384636,385496
"01133","Winston, AL",623271,644729,645050,698066,700955
"02013","Aleutians East Borough, AK",214427,225524,196977,211829,190988
"02016","Aleutians West Census Area, AK",394695,385386,375677,372939,360360
"02020","Anchorage Municipality, AK",21484194,21145131,21275142,21096610,20006260
"02050","Bethel Census Area, AK",650360,664874,672009,669380,647483
"02060","Bristol Bay Borough, AK",116002,120325,130396,125131,107600
"02063","Chugach Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)"
"02066","Copper River Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)"
"02068","Denali Borough, AK",250744,260727,262098,259591,203501
"02070","Dillingham Census Area, AK",237769,244154,244349,239239,215253
"02090","Fairbanks North Star Borough, AK",5378926,5355362,5291435,5254634,5092503
"02100","Haines Borough, AK",95600,102946,109959,108666,85107
"02105","Hoonah-Angoon Census Area, AK*",91111,95606,96138,99646,90774
"02110","Juneau City and Borough, AK",2282999,2386873,2348798,2302465,2183825
"02122","Kenai Peninsula Borough, AK",2879575,2922115,2628605,2703389,2661120
"02130","Ketchikan Gateway Borough, AK*",818942,822684,819401,838509,745136
"02150","Kodiak Island Borough, AK",689238,720140,703425,717581,680484
"02158","Kusilvak Census Area, AK*",142254,139030,141127,141922,141436
"02164","Lake and Peninsula Borough, AK",74332,88522,93420,85613,74371
"02170","Matanuska-Susitna Borough, AK",2453011,2403156,2443285,2556968,2534009
"02180","Nome Census Area, AK",375801,413472,409188,407769,395401
"02185","North Slope Borough, AK",11128796,10980176,10050255,10389622,9143816
"02188","Northwest Arctic Borough, AK",592249,701856,688496,666604,620696
"02195","Petersburg Borough, AK*",182889,180167,180505,185348,184819
"02198","Prince of Wales-Hyder Census Area, AK*",236215,246890,251947,263853,260584
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)"
"02220","Sitka City and Borough, AK",427618,435881,444383,441235,385262
"02230","Skagway Municipality, AK*",99824,102737,98621,99677,70752
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)"
"02240","Southeast Fairbanks Census Area, AK",617032,692558,658023,602812,622826
"02261","Valdez-Cordova Census Area, AK*",2286114,2132610,2098601,2255039,"(NA)"
"02275","Wrangell City and Borough, AK*",102183,98909,99074,94807,93843
"02280","Wrangell-Petersburg Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)"
"02282","Yakutat City and Borough, AK*",26263,25689,26876,28935,30972
"02290","Yukon-Koyukuk Census Area, AK",251488,260791,273293,270179,256635
"04001","Apache, AZ",2338314,2356511,2386806,2128397,2157467
"04003","Cochise, AZ",4287830,4205704,4187426,4280992,4501616
"04005","Coconino, AZ",6528220,7149723,7089777,6829438,6321341
"04007","Gila, AZ",1597812,1690890,1705180,1687658,1684553
"04009","Graham, AZ",791203,870164,899154,947920,982532
"04011","Greenlee, AZ",1334767,1638845,1555996,1576320,1499870
"04012","La Paz, AZ",673416,669175,661271,682877,688842
"04013","Maricopa, AZ",206462015,214120001,223590591,233321462,231963078
"04015","Mohave, AZ",4964569,4816906,4900496,5074156,5113573
"04017","Navajo, AZ",2613824,2758995,2859345,2642699,2537793
"04019","Pima, AZ",37220309,38533954,39534741,40179930,38478791
"04021","Pinal, AZ",7557195,7965575,8368354,8585413,8752073
"04023","Santa Cruz, AZ",1583884,1746694,1792086,1767253,1734246
"04025","Yavapai, AZ",6224311,6606836,6657557,6692200,6617293
"04027","Yuma, AZ",6985127,7258853,7331342,7384506,7422021
"05001","Arkansas, AR",1001794,943684,971183,966397,988706
"05003","Ashley, AR",777666,693283,680615,677007,610346
"05005","Baxter, AR",1166983,1268312,1285220,1278578,1239729
"05007","Benton, AR",12331775,13147706,13639837,14096756,14467239
